Account_Id,Armt_Key,From_Date,To_Date
40000,1900,2020-01-01,2099-12-31
40001,1901,2020-01-01,2099-12-31
40002,1902,2020-01-01,2099-12-31
40003,1903,2020-01-01,2099-12-31
40004,1904,2020-01-01,2099-12-31
40005,1905,2020-01-01,2099-12-31
40006,1906,2020-01-01,2099-12-31
40007,1907,2020-01-01,2099-12-31
40008,1908,2020-01-01,2099-12-31
40009,1909,2020-01-01,2099-12-31
40010,1910,2020-01-01,2099-12-31
40011,1911,2020-01-01,2099-12-31
40012,1912,2020-01-01,2099-12-31
40013,1913,2020-01-01,2099-12-31
40014,1914,2020-01-01,2099-12-31
40015,1915,2020-01-01,2099-12-31
40016,1916,2020-01-01,2099-12-31
40017,1917,2020-01-01,2099-12-31
40018,1918,2020-01-01,2099-12-31
40019,1919,2020-01-01,2099-12-31
40020,1920,2020-01-01,2099-12-31
40021,1921,2020-01-01,2099-12-31
40022,1922,2020-01-01,2099-12-31
40023,1923,2020-01-01,2099-12-31
40024,1924,2020-01-01,2099-12-31
40025,1925,2020-01-01,2099-12-31
40026,1926,2020-01-01,2099-12-31
40027,1927,2020-01-01,2099-12-31
40028,1928,2020-01-01,2099-12-31
40029,1929,2020-01-01,2099-12-31
40030,1930,2020-01-01,2099-12-31
40031,1931,2020-01-01,2099-12-31
40032,1932,2020-01-01,2099-12-31
40033,1933,2020-01-01,2099-12-31
40034,1934,2020-01-01,2099-12-31
40035,1935,2020-01-01,2099-12-31
40036,1936,2020-01-01,2099-12-31
40037,1937,2020-01-01,2099-12-31
40038,1938,2020-01-01,2099-12-31
40039,1939,2020-01-01,2099-12-31
40040,1940,2020-01-01,2099-12-31
40041,1941,2020-01-01,2099-12-31
40042,1942,2020-01-01,2099-12-31
40043,1943,2020-01-01,2099-12-31
40044,1944,2020-01-01,2099-12-31
40045,1945,2020-01-01,2099-12-31
40046,1946,2020-01-01,2099-12-31
40047,1947,2020-01-01,2099-12-31
40048,1948,2020-01-01,2099-12-31
40049,1949,2020-01-01,2099-12-31
40050,1950,2020-01-01,2099-12-31
40051,1951,2020-01-01,2099-12-31
40052,1952,2020-01-01,2099-12-31
40053,1953,2020-01-01,2099-12-31
40054,1954,2020-01-01,2099-12-31
40055,1955,2020-01-01,2099-12-31
40056,1956,2020-01-01,2099-12-31
40057,1957,2020-01-01,2099-12-31
40058,1958,2020-01-01,2099-12-31
40059,1959,2020-01-01,2099-12-31
40060,1960,2020-01-01,2099-12-31
40061,1961,2020-01-01,2099-12-31
40062,1962,2020-01-01,2099-12-31
40063,1963,2020-01-01,2099-12-31
40064,1964,2020-01-01,2099-12-31
40065,1965,2020-01-01,2099-12-31
40066,1966,2020-01-01,2099-12-31
40067,1967,2020-01-01,2099-12-31
40068,1968,2020-01-01,2099-12-31
40069,1969,2020-01-01,2099-12-31
40070,1970,2020-01-01,2099-12-31
40071,1971,2020-01-01,2099-12-31
40072,1972,2020-01-01,2099-12-31
40073,1973,2020-01-01,2099-12-31
40074,1974,2020-01-01,2099-12-31
40075,1975,2020-01-01,2099-12-31
40076,1976,2020-01-01,2099-12-31
40077,1977,2020-01-01,2099-12-31
40078,1978,2020-01-01,2099-12-31
40079,1979,2020-01-01,2099-12-31
40080,1980,2020-01-01,2099-12-31
40081,1981,2020-01-01,2099-12-31
40082,1982,2020-01-01,2099-12-31
40083,1983,2020-01-01,2099-12-31
40084,1984,2020-01-01,2099-12-31
40085,1985,2020-01-01,2099-12-31
40086,1986,2020-01-01,2099-12-31
40087,1987,2020-01-01,2099-12-31
40088,1988,2020-01-01,2099-12-31
40089,1989,2020-01-01,2099-12-31
40090,1990,2020-01-01,2099-12-31
40091,1991,2020-01-01,2099-12-31
40092,1992,2020-01-01,2099-12-31
40093,1993,2020-01-01,2099-12-31
40094,1994,2020-01-01,2099-12-31
40095,1995,2020-01-01,2099-12-31
40096,1996,2020-01-01,2099-12-31
40097,1997,2020-01-01,2099-12-31
40098,1998,2020-01-01,2099-12-31
40099,1999,2020-01-01,2099-12-31
40100,2000,2020-01-01,2099-12-31
40101,2001,2020-01-01,2099-12-31
40102,2002,2020-01-01,2099-12-31
40103,2003,2020-01-01,2099-12-31
40104,2004,2020-01-01,2099-12-31
40105,2005,2020-01-01,2099-12-31
40106,2006,2020-01-01,2099-12-31
40107,2007,2020-01-01,2099-12-31
40108,2008,2020-01-01,2099-12-31
40109,2009,2020-01-01,2099-12-31
40110,2010,2020-01-01,2099-12-31
40111,2011,2020-01-01,2099-12-31
40112,2012,2020-01-01,2099-12-31
40113,2013,2020-01-01,2099-12-31
40114,2014,2020-01-01,2099-12-31
40115,2015,2020-01-01,2099-12-31
40116,2016,2020-01-01,2099-12-31
40117,2017,2020-01-01,2099-12-31
40118,2018,2020-01-01,2099-12-31
40119,2019,2020-01-01,2099-12-31
40120,2020,2020-01-01,2099-12-31
40121,2021,2020-01-01,2099-12-31
40122,2022,2020-01-01,2099-12-31
40123,2023,2020-01-01,2099-12-31
40124,2024,2020-01-01,2099-12-31
40125,2025,2020-01-01,2099-12-31
40126,2026,2020-01-01,2099-12-31
40127,2027,2020-01-01,2099-12-31
40128,2028,2020-01-01,2099-12-31
40129,2029,2020-01-01,2099-12-31
40130,2030,2020-01-01,2099-12-31
40131,2031,2020-01-01,2099-12-31
40132,2032,2020-01-01,2099-12-31
40133,2033,2020-01-01,2099-12-31
40134,2034,2020-01-01,2099-12-31
40135,2035,2020-01-01,2099-12-31
40136,2036,2020-01-01,2099-12-31
40137,2037,2020-01-01,2099-12-31
40138,2038,2020-01-01,2099-12-31
40139,2039,2020-01-01,2099-12-31
40140,2040,2020-01-01,2099-12-31
40141,2041,2020-01-01,2099-12-31
40142,2042,2020-01-01,2099-12-31
40143,2043,2020-01-01,2099-12-31
40144,2044,2020-01-01,2099-12-31
40145,2045,2020-01-01,2099-12-31
40146,2046,2020-01-01,2099-12-31
40147,2047,2020-01-01,2099-12-31
40148,2048,2020-01-01,2099-12-31
40149,2049,2020-01-01,2099-12-31
